goal,exam,id,chapterPractiseUrl,chapterSubject,chapterName,conceptCount,chapterDescription,length,bgThumbnail,embiums,teaserUrl,importance
Banking,SBI Clerk Mains,5f10a9b67f10acd6461c45c0,PPGEE004--.*Blood Relations,Blood Relations,Quantitative Aptitude And Reasoning,32,"This chapter explores the maternal, paternal and some other different types of relations. We will also solve several objective problems related to blood relations. Practising the problems helps us understand the concept effectively.",232,https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1cuTNIUIgCah6cjh9lKPsDgt-Z2i9Y-vy.webp,100,https://vimeo.com/467660749/0b8efd8096,
Banking,IBPS RRB Office Assistant Mains,5edde6583dc2504431c9c50c,IBPS035--.*Deductive Logic,Deductive Logic,UPKAR'S Mental Ability Tests,33,"In this chapter, you are introduced to a brief discussion regarding the concepts of Syllogism, Greek for logical inference. The discussions will help you understand any statement and arrive at a logical conclusion by following certain propositions.",,https://content-grail-production.s3.amazonaws.com/quetsion-media/30e0720d-d895-442c-9246-35b0909b0faf-6_IBPS035_DeductiveLogic_HB.jpg,100,https://vimeo.com/468053146/782824fe97,
Banking,IBPS RRB Officer Scale-I Prelims,5eff36b927278334e9e9a100,PPGN148--.*RATIO & PROPORTION,RATIO & PROPORTION,Mental Ability & General English Basic Computer Knowledge English Comprehension,32,"This chapter emphasizes on the concept of ratio, proportion and variation in detail. It also provides a detailed explanation on the ratio of equality, greater inequality, lesser inequality and some facts based on proportion and variations.",239,https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1l2gQx8QsBWoUJcj47jzKVom3dLmF6Fvj.webp,100,https://vimeo.com/467660781/8b3f5d1eed,
Teaching,CTET Paper 1,5f2a4e4d564a727b690a0382,PPGTET356--.*Principles of Child Development,Principles of Child Development,CBSE CTET/TET Paper I & II Child Development and Pedagogy,34,This chapter describes how development of a child occurs with the help of some principles. It also deals with principles of development and also explains what types of factors can put an impact on child development.,215,https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1X7-Mh9STwVCgK3Qzo0K7IYXkstOlZ5o9.webp,100,https://vimeo.com/467699125/8b28fda0f5,
Teaching,CTET Paper 2,5f29a0cff6d753e355349153,PPGTET355--.*TEACHING INTEREST,TEACHING INTEREST,Teaching Aptitude & Teaching Attitude,34,This chapter deals with the interest and mindset of a teacher who has an impact on the teaching process. Different teaching theories and principles are also briefly explained in this chapter.,191,https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1mYJtFbHgGJAx147dM3M5xqDhz6L3d3fm.webp,100,https://vimeo.com/467687099/6346d02da3,
Railways,Railways,5ee24820708b969c39987f0a,PPGGN134--.*Mechanics,Mechanics,MagBook GENERAL SCIENCE,39,The chapter describes the basic concepts of various branches of mechanics with their different applications. It also explains the concept of heavenly bodies and how those bodies can stay in space with a certain force of attraction.,,https://content-grail-production.s3.amazonaws.com/quetsion-media/2e3c2827-f0da-4a67-854c-6b4ce4e13ce3-7_Railways_Railways_PPGGN134_MagBook_GENERAL-SCIENCE.jpg,100,https://vimeo.com/467681134/a1224db02b,
SSC,SSC,5f031c7f27278334e9ed0cc5,PPGN136--*PERCENTAGE,PERCENTAGE,SSC - Delhi Police Constable Executive,24,This chapter outlines the concepts of percentage. It covers the definitions of percentage. We will also learn to calculate the percentage of different values. It also provides an exercise along with its explanation which will help us clarify the concepts.,,https://content-grail-production.s3.amazonaws.com/quetsion-media/e2eec4dd-668e-4ffd-9f4b-4f346ba17541-8_SSC-SSC_PPGN136_SSC---Delhi-Police-Constable-Executive.jpg,100,https://vimeo.com/468056662/46375ca1ff,
Insurance,Insurance,5f1bd2adf917ee53a5f047f3,PPGCDS170--.*DRDO Multi Tasking Staff EXAM,DRDO Multi Tasking Staff EXAM,Employees' State Insurance Corporation Upper Division Clerks & Multi Tasking Staff Recruitment Exam (Phase-I),39,"This chapter offers 10 sets of comprehensive model papers for candidates. Each paper comprises a miscellaneous bag of questions from the subjects of reasoning and quantitative aptitude, along with general awareness and knowledge.",,https://content-grail-production.s3.amazonaws.com/quetsion-media/53b90503-3d27-4abb-bcba-b80e09d7a076-9_PPGCDS170_DRDOMultiTaskingStaffEXAM_HB.jpg,100,https://vimeo.com/467677698/0392f01fa1,
Defence,Defence,5eff3a9927278334e9e9b9e0,PPGN183--.*Average,Average,DRDO Multi Tasking Staff Cadre COMPUTER BASED TEST First Stage Exam,42,"In this chapter, students are introduced to the concept averages which is a general representation of series. This chapter also teaches us to solve questions on averages based on different methods.",,https://content-grail-production.s3.amazonaws.com/quetsion-media/5d7c7c27-0cf1-4776-a8c8-9679587e4440-10_PPGN183_Average_HB.jpg,100,https://vimeo.com/467696070/a33800a4bf,
Engineering,JEE Advanced,5f759c96601098c24dcbe539,PUGJEE380--.*Rotation,Rotation,Principles Of Physics International Student Version,23,"The chapter explains rotational variables and rotation with constant angular acceleration. It describes the kinetic energy of rotation along with linear and angular variations. It explains Newton’s second law of rotation, rotational kinetic energy, etc.",253,https://content-grail-production.s3.amazonaws.com/practice-temp-tiles/1cGGmKn8mpy3WoDaSrnBF6IRLQ7MzPitj.webp,100,https://vimeo.com/467692016/2b2f34a458,
